git                       Git plugin                           2.4.2
cvs                       CVS Plug-in                          2.12
external-monitor-job      External Monitor Job Type Plugin     1.4
credentials               Credentials Plugin                   1.24
ant                       Ant Plugin                           1.2
ssh-credentials           SSH Credentials Plugin               1.11
test-stability            Test stability history               1.0
jquery                    jQuery plugin                        1.11.2-0
matrix-auth               Matrix Authorization Strategy Plugin 1.2
matrix-project            Matrix Project Plugin                1.6
antisamy-markup-formatter OWASP Markup Formatter Plugin        1.3
windows-slaves            Windows Slaves Plugin                1.1
subversion                Subversion Plug-in                   2.5.7
script-security           Script Security Plugin               1.17
nodelabelparameter        Node and Label parameter plugin      1.7.1
mailer                    Mailer Plugin                        1.16
ldap                      LDAP Plugin                          1.11
blame-upstream-commiters  Blame Upstream Committers            1.2
pam-auth                  PAM Authentication plugin            1.2
envinject                 Environment Injector Plugin          1.92.1
javadoc                   Javadoc Plugin                       1.3
mapdb-api                 MapDB API Plugin                     1.0.6.0
translation               Translation Assistance plugin        1.12
git-client                Git client plugin                    1.19.5
maven-plugin              Maven Integration plugin             2.12.1
ssh-slaves                SSH Slaves plugin                    1.10
scm-api                   SCM API Plugin                       1.0
junit                     JUnit Plugin                         1.10
email-ext                 Email Extension Plugin               2.41.2
copyartifact              Copy Artifact Plugin                 1.37
token-macro               Token Macro Plugin                   1.12.1
